off_w,def_w,sos_w,hca,fc,fb,thresh,spread_acc,win8,n8,win7,n7,win5,n5
0.46,0.53,0.1,3,5,1,5,74.68%,83.98%,3221,55.35%,271,56.94%,353
0.44,0.55,0.12,2.7,5,0,6,74.98%,83.40%,3290,55.43%,276,56.91%,369
0.44,0.55,0.1,3,5,1,5,74.86%,83.91%,3231,56.20%,274,56.90%,355
0.44,0.54,0.11,2.7,4,1,6,74.86%,83.63%,3232,55.94%,261,56.86%,350
0.44,0.55,0.1,3,5,1,6,74.86%,83.91%,3231,55.80%,276,56.83%,366
0.47,0.52,0.1,3,5,1,5,74.68%,83.96%,3217,55.64%,266,56.82%,352
0.44,0.56,0.12,3,4,0,5,74.83%,83.33%,3336,55.07%,276,56.82%,352
0.48,0.51,0.1,3,5,1,5,74.71%,83.86%,3221,55.47%,265,56.78%,354
0.46,0.53,0.09,3,5,1,5,74.77%,84.65%,3141,55.06%,267,56.77%,347
0.45,0.55,0.11,3,4,0,7,74.90%,83.68%,3290,54.36%,287,56.77%,384
0.48,0.51,0.1,2.5,5,0,6,74.73%,83.98%,3153,56.52%,276,56.76%,370
0.44,0.55,0.12,2.7,5,0,5,74.98%,83.40%,3290,55.56%,270,56.75%,363
0.45,0.54,0.1,3,5,1,5,74.79%,83.88%,3225,55.64%,275,56.74%,356
0.45,0.54,0.09,3,5,1,5,74.68%,84.55%,3146,55.26%,266,56.70%,351
0.44,0.54,0.11,2.7,4,1,7,74.86%,83.63%,3232,56.49%,262,56.70%,351
0.45,0.55,0.1,2.3,4,0,5,74.96%,84.17%,3126,54.64%,280,56.68%,374
0.46,0.53,0.1,3,5,1,6,74.68%,83.98%,3221,55.07%,276,56.68%,367
0.45,0.54,0.1,3,5,1,6,74.79%,83.88%,3225,55.56%,279,56.68%,367
0.44,0.55,0.09,2.7,5,1,5,74.73%,84.61%,3092,55.07%,276,56.67%,360
0.44,0.56,0.12,3,4,0,7,74.83%,83.33%,3336,54.74%,285,56.65%,376
0.44,0.55,0.09,2.3,5,0,5,74.64%,84.48%,3054,56.27%,279,56.64%,369
0.47,0.52,0.12,2.5,5,0,5,74.92%,83.34%,3259,55.64%,266,56.63%,362
0.44,0.56,0.12,2.5,4,0,5,74.98%,83.28%,3278,55.76%,278,56.63%,362
0.47,0.52,0.09,3,5,0,5,74.68%,84.64%,3138,56.88%,269,56.61%,348
0.45,0.54,0.1,2.7,4,0,6,74.73%,83.93%,3179,56.93%,267,56.58%,357
0.44,0.56,0.11,3,4,0,7,74.83%,83.61%,3294,54.51%,288,56.58%,380
0.46,0.53,0.09,3,5,0,5,74.77%,84.65%,3141,56.46%,271,56.57%,350
0.44,0.55,0.09,3,5,1,5,74.68%,84.46%,3146,55.60%,268,56.57%,350
0.48,0.52,0.1,2.5,4,0,5,75.07%,83.97%,3169,54.91%,275,56.57%,373
0.45,0.54,0.1,2.7,4,0,5,74.73%,83.93%,3179,56.77%,266,56.57%,350
0.44,0.54,0.12,2.5,4,1,5,74.92%,83.25%,3253,54.96%,262,56.57%,350
0.46,0.53,0.11,2.7,5,0,6,74.79%,83.67%,3233,55.16%,281,56.56%,366
0.52,0.47,0.11,2.5,5,1,5,74.98%,83.65%,3218,53.82%,262,56.56%,366
0.48,0.51,0.11,2.5,5,1,5,74.81%,83.64%,3216,53.93%,267,56.55%,359
0.49,0.5,0.11,2.7,5,1,5,74.83%,83.59%,3236,55.02%,269,56.55%,359
0.44,0.55,0.12,2.7,5,1,5,74.98%,83.40%,3290,54.85%,268,56.55%,359
0.45,0.54,0.09,2.3,5,0,5,74.58%,84.57%,3046,56.36%,275,56.52%,368
0.44,0.55,0.09,3,4,1,5,74.68%,84.46%,3146,56.32%,261,56.52%,345
0.51,0.48,0.1,3,5,1,6,74.79%,84.10%,3214,54.31%,267,56.52%,368
0.47,0.52,0.11,2.7,5,0,6,74.83%,83.69%,3237,55.04%,278,56.52%,368
0.49,0.49,0.09,2.7,4,1,6,74.88%,84.82%,3097,55.69%,255,56.51%,338
0.45,0.54,0.09,2.7,5,1,5,74.64%,84.65%,3100,55.15%,272,56.51%,361
0.46,0.53,0.09,2.7,5,1,5,74.62%,84.65%,3094,55.56%,270,56.51%,361
0.49,0.5,0.11,2.5,5,1,5,74.83%,83.66%,3220,53.82%,262,56.51%,361
0.44,0.55,0.1,2.7,5,0,6,74.71%,84.09%,3180,55.96%,277,56.49%,370
0.48,0.51,0.11,2.5,5,1,6,74.81%,83.64%,3216,53.99%,276,56.49%,370
0.44,0.56,0.12,2.3,4,0,5,75.03%,83.16%,3243,56.18%,283,56.49%,370
0.44,0.55,0.1,3,4,1,5,74.86%,83.91%,3231,56.88%,269,56.48%,347
0.44,0.55,0.08,2.7,5,1,5,74.56%,85.42%,3005,56.07%,280,56.47%,363
0.44,0.56,0.11,2.7,4,0,5,75.05%,83.65%,3248,56.27%,279,56.47%,363
0.45,0.53,0.12,2.7,4,1,6,74.94%,83.32%,3286,55.60%,259,56.47%,340
0.48,0.51,0.11,2.7,5,1,5,74.79%,83.65%,3241,54.61%,271,56.46%,356
0.46,0.53,0.12,2.7,5,1,5,74.96%,83.38%,3286,55.60%,268,56.46%,356
0.45,0.54,0.12,2.7,5,1,5,74.96%,83.35%,3291,54.85%,268,56.46%,356
0.48,0.51,0.08,3,5,1,5,74.62%,85.07%,3068,53.52%,256,56.45%,349
0.5,0.49,0.1,2.5,5,0,6,74.86%,84.00%,3156,55.76%,278,56.45%,372
0.47,0.53,0.1,2.5,4,0,5,75.01%,83.97%,3162,55.04%,278,56.45%,372
0.49,0.5,0.1,2.5,5,0,6,74.77%,83.92%,3153,55.71%,280,56.45%,372
0.48,0.51,0.11,2.7,5,1,7,74.79%,83.65%,3241,54.96%,282,56.45%,372
0.52,0.47,0.11,2.5,5,1,6,74.98%,83.65%,3218,53.76%,266,56.45%,372
0.44,0.54,0.12,2.5,4,1,6,74.92%,83.25%,3253,54.58%,262,56.45%,349
0.45,0.55,0.12,2.3,4,0,5,75.09%,83.23%,3243,56.07%,280,56.45%,372
0.5,0.49,0.1,3,5,1,6,74.73%,83.89%,3222,54.65%,269,56.44%,365
0.44,0.55,0.11,2.7,5,0,6,74.81%,83.83%,3240,55.56%,279,56.44%,365
0.45,0.54,0.11,2.7,5,0,6,74.75%,83.75%,3243,55.00%,280,56.44%,365
0.47,0.52,0.11,2.7,5,1,6,74.83%,83.69%,3237,55.00%,280,56.44%,365
0.44,0.56,0.12,2.5,5,0,5,74.98%,83.28%,3278,56.45%,287,56.44%,365
0.47,0.52,0.09,3,4,0,5,74.68%,84.64%,3138,57.20%,264,56.43%,342
0.45,0.53,0.12,2.7,4,1,7,74.94%,83.32%,3286,56.11%,262,56.43%,342
0.44,0.55,0.09,2.7,5,0,5,74.73%,84.61%,3092,55.43%,276,56.42%,358
0.45,0.54,0.09,2.3,5,0,6,74.58%,84.57%,3046,56.58%,281,56.42%,374
0.45,0.54,0.1,2.7,5,0,5,74.73%,83.93%,3179,55.93%,270,56.42%,358
0.45,0.55,0.11,3,4,0,5,74.90%,83.68%,3290,53.99%,276,56.42%,358
0.46,0.53,0.11,2.7,5,0,5,74.79%,83.67%,3233,55.27%,275,56.42%,358
0.48,0.51,0.12,2.5,5,0,5,74.92%,83.36%,3257,56.34%,268,56.42%,358
0.45,0.54,0.09,3,5,0,5,74.68%,84.55%,3146,56.25%,272,56.41%,351
0.5,0.49,0.1,3,5,1,5,74.73%,83.89%,3222,54.58%,262,56.41%,351
0.47,0.51,0.08,2.5,4,1,6,74.73%,85.35%,2977,56.11%,262,56.40%,344
0.45,0.54,0.09,3,4,1,5,74.68%,84.55%,3146,55.98%,259,56.40%,344
0.46,0.53,0.1,3,4,1,5,74.68%,83.98%,3221,56.23%,265,56.40%,344
0.47,0.52,0.1,3,5,1,6,74.68%,83.96%,3217,55.31%,273,56.40%,367
0.46,0.54,0.11,2.7,4,0,5,75.13%,83.61%,3252,55.23%,277,56.40%,367
0.45,0.55,0.12,2.5,4,0,5,74.96%,83.31%,3272,55.31%,273,56.40%,367
0.48,0.51,0.12,2.3,5,1,5,74.86%,83.23%,3231,55.06%,267,56.40%,367
0.44,0.55,0.1,2.7,4,0,6,74.71%,84.09%,3180,56.93%,267,56.39%,360
0.48,0.51,0.1,2.5,5,0,5,74.73%,83.98%,3153,56.51%,269,56.39%,360
0.44,0.55,0.11,2.3,5,1,5,74.94%,83.65%,3180,55.88%,272,56.39%,360
0.44,0.55,0.09,3,5,0,5,74.68%,84.46%,3146,56.83%,271,56.37%,353
0.46,0.54,0.1,2.5,4,0,5,74.98%,84.05%,3160,55.43%,276,56.37%,369
0.45,0.54,0.1,2.7,5,0,6,74.73%,83.93%,3179,55.80%,276,56.37%,369
0.48,0.51,0.1,3,5,1,6,74.71%,83.86%,3221,55.15%,272,56.37%,369
0.48,0.51,0.11,2.7,5,1,6,74.79%,83.65%,3241,54.45%,281,56.37%,369
0.46,0.53,0.11,3,5,1,5,74.83%,83.45%,3288,56.18%,267,56.37%,353
0.44,0.56,0.12,3,4,0,6,74.83%,83.33%,3336,54.77%,283,56.37%,369
0.48,0.5,0.08,2.5,4,1,6,74.66%,85.23%,2980,56.37%,259,56.36%,346
0.52,0.47,0.09,3,4,1,5,74.73%,84.67%,3137,52.78%,252,56.36%,346
0.45,0.54,0.1,3,4,1,5,74.79%,83.88%,3225,56.51%,269,56.36%,346
0.44,0.55,0.08,3,5,0,6,74.75%,84.96%,3072,55.84%,274,56.35%,362
0.46,0.54,0.1,2.3,4,0,5,74.98%,84.09%,3136,54.29%,280,56.35%,378
0.51,0.48,0.11,2.5,5,1,5,74.90%,83.67%,3215,53.99%,263,56.35%,362
0.46,0.53,0.12,2.7,5,0,5,74.96%,83.38%,3286,56.09%,271,56.35%,362
0.45,0.54,0.12,2.7,5,0,5,74.96%,83.35%,3291,55.93%,270,56.35%,362
0.48,0.51,0.09,2.7,5,1,5,74.62%,84.75%,3089,54.10%,268,56.34%,355
0.52,0.47,0.09,3,4,0,5,74.73%,84.67%,3137,55.64%,257,56.34%,339
0.5,0.48,0.1,2.7,4,0,7,74.90%,84.05%,3179,56.15%,260,56.34%,339
0.48,0.5,0.11,2.3,4,1,5,74.92%,83.58%,3186,54.86%,257,56.34%,339
0.45,0.54,0.1,2.3,5,0,6,74.77%,83.97%,3126,56.47%,278,56.33%,371
0.46,0.54,0.11,3,4,0,7,74.94%,83.57%,3298,53.52%,284,56.33%,387
0.47,0.52,0.12,2.5,5,0,6,74.92%,83.34%,3259,55.43%,276,56.33%,371
0.47,0.53,0.12,2.5,4,0,5,75.09%,83.32%,3273,54.18%,275,56.33%,371
0.48,0.51,0.09,3,5,1,5,74.60%,84.67%,3137,53.21%,265,56.32%,348
0.47,0.52,0.09,3,5,1,5,74.68%,84.64%,3138,54.14%,266,56.32%,348
0.46,0.53,0.09,2.3,5,0,5,74.68%,84.54%,3047,56.09%,271,56.32%,364
0.44,0.55,0.09,3,4,0,5,74.68%,84.46%,3146,57.58%,264,56.32%,348
0.48,0.52,0.1,2.5,4,0,6,75.07%,83.97%,3169,55.00%,280,56.32%,380
0.45,0.54,0.11,2.7,5,1,6,74.75%,83.75%,3243,54.64%,280,56.32%,364
0.46,0.53,0.11,2.7,5,1,6,74.79%,83.67%,3233,54.80%,281,56.32%,364
0.44,0.54,0.11,2.7,4,1,5,74.86%,83.63%,3232,56.11%,262,56.32%,348
0.5,0.49,0.12,2.3,5,0,5,74.94%,83.37%,3236,54.95%,273,56.32%,364
0.47,0.52,0.09,2.7,5,1,5,74.71%,84.75%,3095,55.02%,269,56.30%,357
0.46,0.53,0.09,3,4,1,5,74.77%,84.65%,3141,55.34%,262,56.30%,341
0.45,0.55,0.09,2.3,4,0,5,74.81%,84.52%,3056,54.80%,281,56.30%,373
0.44,0.55,0.1,3,5,0,5,74.86%,83.91%,3231,55.88%,272,56.30%,357
0.46,0.53,0.11,2.7,5,1,5,74.79%,83.67%,3233,54.74%,274,56.30%,357
0.52,0.47,0.11,2.5,4,1,5,74.98%,83.65%,3218,53.57%,252,56.30%,357
0.44,0.56,0.11,3,4,0,5,74.83%,83.61%,3294,54.48%,279,56.30%,357
0.48,0.5,0.11,2.3,4,1,6,74.92%,83.58%,3186,55.38%,260,56.30%,341
0.51,0.49,0.11,2.3,4,0,5,75.03%,83.57%,3195,54.15%,277,56.30%,373
0.47,0.52,0.08,3,5,1,5,74.47%,85.15%,3064,53.99%,263,56.29%,350
0.49,0.5,0.1,3,5,1,5,74.77%,83.78%,3219,55.17%,261,56.29%,350
0.46,0.53,0.08,2.5,5,1,5,74.64%,85.39%,2985,56.00%,275,56.28%,366
0.45,0.54,0.1,2.3,5,0,5,74.77%,83.97%,3126,56.20%,274,56.28%,366
0.44,0.55,0.11,2.7,5,1,6,74.81%,83.83%,3240,55.52%,281,56.28%,366
0.44,0.55,0.11,2.3,5,1,6,74.94%,83.65%,3180,56.16%,276,56.28%,366
0.48,0.52,0.11,3,4,0,5,75.01%,83.47%,3297,53.16%,269,56.28%,366
0.44,0.55,0.12,2.7,5,1,6,74.98%,83.40%,3290,55.11%,274,56.28%,366
0.5,0.49,0.12,2.3,5,1,5,74.94%,83.37%,3236,53.93%,267,56.28%,366
0.45,0.54,0.12,2.5,5,0,5,74.94%,83.31%,3254,55.60%,268,56.28%,366
0.48,0.51,0.09,3,4,1,5,74.60%,84.67%,3137,53.64%,261,56.27%,343
0.44,0.55,0.09,2.3,5,0,6,74.64%,84.48%,3054,56.34%,284,56.27%,375
0.48,0.52,0.09,2.3,4,0,5,74.79%,84.43%,3058,54.42%,283,56.27%,375
0.44,0.55,0.1,2.7,5,0,5,74.71%,84.09%,3180,55.72%,271,56.27%,359
0.47,0.52,0.1,3,4,1,5,74.68%,83.96%,3217,56.32%,261,56.27%,343
0.49,0.5,0.11,2.5,5,0,5,74.83%,83.66%,3220,55.43%,267,56.27%,359
0.51,0.48,0.11,2.7,5,1,5,74.83%,83.66%,3238,53.76%,266,56.27%,359
0.45,0.53,0.11,2.3,4,1,6,75.05%,83.64%,3179,56.03%,257,56.27%,343
0.45,0.54,0.11,2.3,5,1,5,74.90%,83.58%,3186,55.51%,272,56.27%,359
0.47,0.52,0.12,2.7,5,0,5,74.98%,83.44%,3285,55.81%,267,56.27%,359
0.44,0.55,0.12,3,5,0,6,74.94%,83.17%,3346,55.51%,272,56.27%,359
0.48,0.5,0.09,2.7,4,1,6,74.83%,84.72%,3095,56.08%,255,56.25%,336
0.51,0.48,0.1,3,5,1,5,74.79%,84.10%,3214,54.05%,259,56.25%,352
0.45,0.53,0.1,2.3,4,1,7,74.88%,84.02%,3123,55.51%,263,56.25%,352
0.52,0.47,0.1,3,5,1,5,74.83%,83.95%,3221,52.92%,257,56.25%,352
0.44,0.55,0.1,3,4,1,6,74.86%,83.91%,3231,56.88%,269,56.25%,352
0.44,0.55,0.1,3,5,0,6,74.86%,83.91%,3231,55.51%,272,56.25%,368
0.45,0.54,0.1,3,4,1,6,74.79%,83.88%,3225,56.83%,271,56.25%,352
0.47,0.51,0.11,2.3,4,1,5,74.98%,83.67%,3178,55.25%,257,56.25%,336
0.49,0.5,0.11,2.7,4,1,5,74.83%,83.59%,3236,54.92%,264,56.25%,352
0.48,0.51,0.12,2.5,5,0,6,74.92%,83.36%,3257,56.12%,278,56.25%,368
0.45,0.54,0.12,2.7,5,0,6,74.96%,83.35%,3291,55.40%,278,56.25%,368
0.49,0.5,0.12,2.3,5,1,5,74.92%,83.31%,3230,54.51%,266,56.25%,368
0.48,0.5,0.08,2.5,4,1,7,74.66%,85.23%,2980,56.92%,260,56.23%,345
0.44,0.55,0.09,2.5,5,0,5,74.68%,84.53%,3071,55.27%,275,56.23%,361
0.45,0.55,0.1,2.3,5,0,5,74.96%,84.17%,3126,55.17%,290,56.23%,377
0.45,0.55,0.11,3,5,0,7,74.90%,83.68%,3290,54.88%,297,56.23%,393
0.5,0.49,0.11,2.5,5,1,5,74.86%,83.65%,3217,53.46%,260,56.23%,361
0.5,0.5,0.12,2.3,5,0,5,75.07%,83.33%,3246,54.86%,288,56.23%,377
0.48,0.51,0.12,3,5,1,6,74.81%,83.18%,3341,53.38%,266,56.23%,361
0.44,0.55,0.08,2.7,5,1,6,74.56%,85.42%,3005,55.99%,284,56.22%,370
0.46,0.54,0.08,2.5,4,0,5,74.75%,85.28%,2990,54.32%,278,56.22%,370
0.52,0.47,0.1,3,5,1,6,74.83%,83.95%,3221,52.99%,268,56.22%,370
0.51,0.48,0.11,2.5,5,1,6,74.90%,83.67%,3215,54.07%,270,56.22%,370
0.45,0.54,0.11,2.5,5,0,6,74.90%,83.55%,3215,55.32%,282,56.22%,370
0.45,0.55,0.12,2.5,5,0,5,74.96%,83.31%,3272,55.87%,281,56.22%,370
0.44,0.55,0.12,2.3,5,0,6,75.03%,83.26%,3232,55.76%,278,56.22%,370
0.48,0.5,0.08,2.3,4,0,5,74.81%,85.33%,2959,56.08%,255,56.21%,338
0.49,0.49,0.09,2.7,4,1,7,74.88%,84.82%,3097,55.81%,258,56.21%,338
0.5,0.48,0.1,2.7,4,0,6,74.90%,84.05%,3179,56.42%,257,56.21%,338
0.44,0.54,0.12,2.5,4,1,7,74.92%,83.25%,3253,54.92%,264,56.21%,354
0.48,0.51,0.08,3,5,1,6,74.62%,85.07%,3068,53.58%,265,56.20%,363
0.44,0.55,0.08,3,5,0,5,74.75%,84.96%,3072,56.13%,269,56.20%,347
0.44,0.54,0.1,2.7,4,1,6,74.77%,83.98%,3172,55.64%,257,56.20%,347
0.45,0.55,0.11,3,5,0,5,74.90%,83.68%,3290,54.12%,279,56.20%,363
0.48,0.51,0.11,2.5,5,0,5,74.81%,83.64%,3216,55.64%,266,56.20%,363
0.45,0.53,0.11,2.7,4,1,6,74.83%,83.58%,3234,56.15%,260,56.20%,347
0.48,0.5,0.11,2.3,4,1,7,74.92%,83.58%,3186,55.81%,258,56.20%,347
0.45,0.54,0.11,2.5,5,0,5,74.90%,83.55%,3215,55.43%,276,56.20%,363
0.48,0.51,0.11,3,5,1,6,74.79%,83.42%,3288,54.65%,269,56.20%,363
0.5,0.5,0.11,3,4,0,6,74.96%,83.42%,3294,53.43%,277,56.20%,379
0.48,0.51,0.12,2.3,5,1,6,74.86%,83.23%,3231,55.11%,274,56.20%,379
0.45,0.55,0.1,2.3,4,0,7,74.96%,84.17%,3126,53.61%,291,56.19%,388
0.47,0.51,0.08,2.5,4,1,5,74.73%,85.35%,2977,55.81%,258,56.18%,340
0.5,0.48,0.09,2.7,4,1,6,74.96%,84.79%,3097,56.08%,255,56.18%,340
0.44,0.56,0.1,2.3,4,0,5,74.77%,84.20%,3127,55.44%,285,56.18%,372
0.47,0.52,0.1,2.7,5,1,5,74.81%,83.99%,3173,54.07%,270,56.18%,356
0.46,0.53,0.1,3,5,1,7,74.68%,83.98%,3221,55.04%,278,56.18%,372
0.45,0.54,0.11,2.7,5,1,5,74.75%,83.75%,3243,54.58%,273,56.18%,356
0.47,0.52,0.11,2.7,5,1,7,74.83%,83.69%,3237,54.80%,281,56.18%,372
0.45,0.55,0.11,3,4,0,6,74.90%,83.68%,3290,54.26%,282,56.18%,372
0.49,0.5,0.11,2.5,5,1,6,74.83%,83.66%,3220,53.51%,271,56.18%,372
0.49,0.5,0.11,2.7,5,0,5,74.83%,83.59%,3236,55.64%,266,56.18%,356
0.48,0.51,0.12,2.7,5,1,5,74.86%,83.38%,3285,55.47%,265,56.18%,356
0.45,0.54,0.12,2.5,5,0,6,74.94%,83.31%,3254,55.64%,275,56.18%,372
0.49,0.5,0.12,2.5,5,0,5,74.96%,83.31%,3266,55.76%,269,56.18%,356
0.46,0.54,0.12,2.3,4,0,5,75.09%,83.29%,3244,55.23%,277,56.18%,372
0.5,0.48,0.12,2.7,4,1,7,74.96%,83.22%,3296,56.15%,260,56.18%,340
0.46,0.53,0.08,2.5,5,1,7,74.64%,85.39%,2985,56.14%,285,56.17%,381
0.47,0.52,0.08,2.5,5,1,5,74.58%,85.47%,2986,55.88%,272,56.16%,365
0.49,0.5,0.08,3,5,1,5,74.56%,84.96%,3066,53.52%,256,56.16%,349
0.49,0.5,0.09,3,5,1,5,74.64%,84.62%,3140,52.90%,259,56.16%,349
0.45,0.54,0.09,2.3,5,1,5,74.58%,84.57%,3046,56.12%,278,56.16%,365
0.44,0.56,0.09,3,4,0,5,74.60%,84.56%,3148,54.93%,284,56.16%,365
0.44,0.56,0.09,2.5,4,0,5,74.75%,84.43%,3096,56.43%,280,56.16%,365
0.45,0.53,0.1,2.3,4,1,6,74.88%,84.02%,3123,54.96%,262,56.16%,349
0.45,0.54,0.1,2.3,5,1,5,74.77%,83.97%,3126,56.32%,277,56.16%,365
0.44,0.56,0.11,2.5,4,0,5,74.86%,83.68%,3210,56.63%,279,56.16%,365
0.45,0.55,0.11,2.7,4,0,5,75.13%,83.65%,3247,55.60%,277,56.16%,365
0.44,0.56,0.12,2.7,4,0,5,75.13%,83.45%,3299,56.10%,287,56.16%,365
0.45,0.55,0.12,2.7,4,0,5,75.18%,83.38%,3297,55.63%,284,56.16%,365
0.47,0.52,0.12,2.3,5,1,5,74.90%,83.23%,3232,55.60%,268,56.16%,365
0.48,0.51,0.12,3,5,1,5,74.81%,83.18%,3341,53.46%,260,56.16%,349
0.44,0.55,0.12,3,5,1,6,74.94%,83.17%,3346,55.96%,277,56.16%,365
0.47,0.52,0.12,3,5,1,6,74.81%,83.13%,3338,53.53%,269,56.16%,365
0.45,0.54,0.12,3,5,1,6,74.90%,83.09%,3348,55.27%,275,56.16%,365
0.51,0.48,0.08,2.5,4,1,5,74.62%,85.50%,2986,54.37%,263,56.15%,358
0.45,0.54,0.09,2.7,5,0,5,74.64%,84.65%,3100,54.78%,272,56.15%,358
0.5,0.49,0.09,2.3,5,0,5,74.73%,84.53%,3057,55.11%,274,56.15%,358
0.51,0.48,0.1,2.5,5,1,6,74.86%,84.02%,3154,54.21%,273,56.15%,374
0.48,0.51,0.1,2.5,5,1,6,74.73%,83.98%,3153,55.47%,274,56.15%,374
0.48,0.52,0.1,2.5,5,0,5,75.07%,83.97%,3169,54.70%,287,56.15%,374
0.49,0.51,0.1,2.5,4,0,5,75.11%,83.96%,3167,53.99%,276,56.15%,374
0.44,0.55,0.1,3,5,1,7,74.86%,83.91%,3231,55.87%,281,56.15%,374
0.44,0.55,0.11,2.7,5,1,5,74.81%,83.83%,3240,55.27%,275,56.15%,358
0.47,0.52,0.11,2.7,5,0,5,74.83%,83.69%,3237,54.98%,271,56.15%,358
0.52,0.47,0.11,2.5,5,1,7,74.98%,83.65%,3218,53.90%,269,56.15%,374
0.45,0.53,0.11,2.3,4,0,6,75.05%,83.64%,3179,56.49%,262,56.15%,358
0.48,0.51,0.11,2.5,5,0,6,74.81%,83.64%,3216,55.60%,277,56.15%,374
0.5,0.5,0.11,2.3,4,0,5,75.03%,83.57%,3196,53.96%,278,56.15%,374
0.44,0.56,0.12,3,5,0,5,74.83%,83.33%,3336,56.00%,275,56.15%,358
0.48,0.5,0.08,2.3,4,0,6,74.81%,85.33%,2959,56.15%,260,56.14%,342
0.48,0.5,0.08,2.5,4,1,5,74.66%,85.23%,2980,56.08%,255,56.14%,342
0.44,0.56,0.08,3,4,0,7,74.49%,84.95%,3070,55.14%,292,56.14%,383
0.45,0.53,0.09,2.7,4,1,6,74.77%,84.65%,3101,56.52%,253,56.14%,342
0.47,0.52,0.09,3,4,1,5,74.68%,84.64%,3138,54.41%,261,56.14%,342
0.5,0.49,0.09,3,5,0,5,74.73%,84.59%,3140,55.47%,265,56.14%,342
0.44,0.54,0.12,2.7,4,1,6,74.86%,83.40%,3284,55.43%,258,56.14%,342
0.46,0.52,0.12,2.7,4,1,6,74.92%,83.31%,3290,55.38%,260,56.14%,342
0.52,0.47,0.12,3,5,0,5,74.96%,83.07%,3332,54.41%,261,56.14%,342
0.44,0.56,0.08,2.5,4,0,5,74.60%,85.48%,2989,54.71%,276,56.13%,367
0.44,0.55,0.09,2.7,5,1,6,74.73%,84.61%,3092,54.29%,280,56.13%,367
0.5,0.49,0.09,3,5,1,5,74.73%,84.59%,3140,52.51%,259,56.13%,351
0.45,0.55,0.09,2.5,4,0,5,74.75%,84.50%,3090,55.96%,277,56.13%,367
0.48,0.51,0.1,2.7,5,1,6,74.79%,84.02%,3178,53.09%,275,56.13%,367
0.44,0.56,0.1,3,5,0,5,74.64%,83.97%,3232,55.12%,283,56.13%,367
0.46,0.53,0.11,2.7,4,0,5,74.79%,83.67%,3233,55.93%,270,56.13%,351
0.51,0.48,0.11,2.7,5,1,6,74.83%,83.66%,3238,53.51%,271,56.13%,367
0.45,0.54,0.11,2.3,5,1,6,74.90%,83.58%,3186,55.60%,277,56.13%,367
0.46,0.51,0.11,3,5,1,6,74.92%,83.57%,3292,56.02%,266,56.13%,351
0.49,0.51,0.11,3,4,0,5,74.96%,83.48%,3292,53.76%,266,56.13%,367
0.46,0.53,0.11,3,5,1,6,74.83%,83.45%,3288,55.72%,271,56.13%,367
0.48,0.51,0.11,3,5,1,5,74.79%,83.42%,3288,55.13%,263,56.13%,351
0.47,0.52,0.12,2.5,4,0,5,74.92%,83.34%,3259,55.98%,259,56.13%,351
0.49,0.5,0.12,2.5,5,0,6,74.96%,83.31%,3266,55.71%,280,56.13%,367
0.46,0.54,0.12,2.5,4,0,5,75.03%,83.30%,3275,55.11%,274,56.13%,367
0.44,0.55,0.12,2.3,5,1,5,75.03%,83.26%,3232,56.32%,277,56.13%,367
0.49,0.5,0.09,2.5,5,1,6,74.71%,84.65%,3074,54.71%,276,56.12%,376
0.49,0.5,0.1,2.5,5,1,6,74.77%,83.92%,3153,55.11%,274,56.12%,376
0.5,0.5,0.12,2.3,4,0,5,75.07%,83.33%,3246,54.18%,275,56.12%,376
0.49,0.49,0.12,2.5,4,1,5,75.01%,83.24%,3257,55.60%,259,56.12%,335
0.45,0.54,0.08,2.7,5,1,5,74.62%,85.42%,3011,55.76%,278,56.11%,360
0.46,0.53,0.1,2.7,5,0,5,74.75%,83.95%,3172,55.88%,272,56.11%,360
0.51,0.48,0.11,2.5,5,0,5,74.90%,83.67%,3215,55.51%,263,56.11%,360
0.46,0.53,0.11,2.5,5,1,5,74.90%,83.52%,3222,54.95%,273,56.11%,360
0.5,0.49,0.12,3,5,1,6,74.81%,83.15%,3336,53.03%,264,56.11%,360
0.47,0.51,0.08,2.5,4,1,7,74.73%,85.35%,2977,56.65%,263,56.10%,344
0.49,0.49,0.08,2.5,4,1,7,74.73%,85.18%,2983,56.87%,262,56.10%,344
0.47,0.52,0.08,3,4,1,5,74.47%,85.15%,3064,54.44%,259,56.10%,344
0.46,0.52,0.09,2.7,4,1,6,74.75%,84.86%,3091,56.47%,255,56.10%,344
0.46,0.53,0.09,3,4,0,5,74.77%,84.65%,3141,56.77%,266,56.10%,344
0.46,0.53,0.09,3,5,1,7,74.77%,84.65%,3141,54.64%,280,56.10%,369
0.51,0.48,0.09,3,4,1,5,74.68%,84.63%,3136,52.78%,252,56.10%,344
0.49,0.5,0.09,3,4,1,5,74.64%,84.62%,3140,53.54%,254,56.10%,344
0.45,0.54,0.09,3,4,0,5,74.68%,84.55%,3146,56.98%,265,56.10%,344
0.46,0.54,0.1,2.3,4,0,6,74.98%,84.09%,3136,54.23%,284,56.10%,385
0.48,0.51,0.1,2.7,5,0,6,74.79%,84.02%,3178,55.16%,281,56.10%,369
0.48,0.5,0.11,2.5,4,1,7,74.98%,83.55%,3216,56.76%,259,56.10%,344
0.49,0.49,0.11,2.5,4,1,7,75.03%,83.47%,3212,56.70%,261,56.10%,344
0.44,0.55,0.11,3,4,0,5,74.83%,83.42%,3299,56.23%,265,56.10%,344
