date,team_a,team_b,venue,score_a,score_b,actual_margin
2025-12-30,South Alabama Jaguars,Mobile Rams,home,85.0,52.0,33.0
2025-12-30,UNLV Rebels,La Sierra Golden Eagles,home,89.0,47.0,42.0
2025-12-31,Arkansas State Red Wolves,Arkansas Tech Wonder Boys,home,107.0,63.0,44.0
2025-12-31,Brown Bears,Johnson & Wales (RI) Griffins,home,105.0,47.0,58.0
2025-12-31,Columbia Lions,Penn St Abington Nittany Lions,home,106.0,51.0,55.0
2025-12-31,Long Beach State Beach,Lincoln University (CA) Oaklanders,home,113.0,66.0,47.0
2025-12-31,Texas Southern Tigers,Huston-Tillotson Rams,home,80.0,56.0,24.0
2026-01-01,Dartmouth Big Green,Elms College Blazers,home,107.0,43.0,64.0
2026-01-02,Cornell Big Red,Alfred State Pioneers,home,133.0,65.0,68.0
2026-01-09,Youngstown State Penguins,Bryant & Stratton (Ohio) Bobcats,home,99.0,61.0,38.0
2026-01-17,San Diego Toreros,Bethesda University Flames,home,113.0,67.0,46.0
2026-01-18,Eastern Illinois Panthers,Blackburn Beavers,home,105.0,49.0,56.0
2026-01-19,Howard Bison,Morehouse Maroon Tigers,home,78.0,69.0,9.0
2026-01-20,Morgan State Bears,Virginia-Lynchburg Dragons,home,128.0,53.0,75.0
2026-01-20,Norfolk State Spartans,Elizabeth City State Vikings,home,86.0,61.0,25.0
2026-01-21,South Carolina State Bulldogs,Mid-Atlantic Christian Mustangs,home,56.0,50.0,6.0
2026-02-10,Davidson Wildcats,Mid-Atlantic Christian Mustangs,home,114.0,53.0,61.0
