date,team_a,team_b
2025-12-28,Sam Houston Bearkats,College Of Biblical Studies Ambassadors
2025-12-28,South Dakota Coyotes,Mount Marty College Lancers
2025-12-28,St. Thomas-Minnesota Tommies,North Central (MN) Rams
2025-12-28,UC Davis Aggies,Pacific Union PACIFIC UNION
2025-12-28,Wofford Terriers,Union (KY) Bulldogs
2025-12-29,Baylor Bears,Arlington Baptist Patriots
2025-12-29,Binghamton Bearcats,Elmira Soaring Eagles
2025-12-29,NJIT Highlanders,SUNY-Canton Roos
2025-12-29,South Florida Bulls,Georgia College Bobcats
2025-12-29,UC San Diego Tritons,Stanton Elks
2025-12-29,UIC Flames,Illinois Tech Scarlet Hawks
2025-12-30,Akron Zips,Concord Mountain Lions
2025-12-30,Alabama A&M Bulldogs,Fisk Bulldogs
2025-12-30,Ball State Cardinals,Earlham College Quakers
2025-12-30,Grambling Tigers,Centenary (LA) Gentlemen
2025-12-30,Maine Black Bears,Maine-Fort Kent Bengals
2025-12-30,Morgan State Bears,Penn State (Brandywine) Lions
2025-12-30,Northern Arizona Lumberjacks,Benedictine (AZ) Redhawks
2025-12-30,South Alabama Jaguars,Mobile Rams
2025-12-30,UNLV Rebels,La Sierra Golden Eagles
2025-12-31,Arkansas State Red Wolves,Arkansas Tech Wonder Boys
2025-12-31,Brown Bears,Johnson & Wales (RI) Griffins
2025-12-31,Columbia Lions,Penn St Abington Nittany Lions
2025-12-31,Long Beach State Beach,Lincoln University (CA) Oaklanders
2025-12-31,Texas Southern Tigers,Huston-Tillotson Rams
2026-01-01,Dartmouth Big Green,Elms College Blazers
2026-01-02,Cornell Big Red,Alfred State Pioneers
2026-01-09,Youngstown State Penguins,Bryant & Stratton (Ohio) Bobcats
2026-01-17,San Diego Toreros,Bethesda University Flames
2026-01-18,Eastern Illinois Panthers,Blackburn Beavers
2026-01-19,Howard Bison,Morehouse Maroon Tigers
2026-01-20,Morgan State Bears,Virginia-Lynchburg Dragons
2026-01-20,Norfolk State Spartans,Elizabeth City State Vikings
2026-01-21,South Carolina State Bulldogs,Mid-Atlantic Christian Mustangs
2026-02-10,Davidson Wildcats,Mid-Atlantic Christian Mustangs
